Type,Tag,ID,Description
format,1P Comic,GHthFcCppABKx-okOMBFM,"1P comics are a type of 4-koma manga that presents four panels per comic strip, stacked on top of each other vertically. 1P comics include single strip per page."
format,4-koma,tB4Ui5aRWgAcndT2B7g4r,"4-koma manga present four panels per comic strip that traditionally are the same size and stack on top of each other vertically. These titles are usually gag manga, with a single joke or self-contained story in each strip, and little to no continuity between the strips."
genre,Action,mY-Rn3R6X09oEa3mgRBd7,"Action is about conflict. Whether with guns, blades, fists, or mysterious powers, these manga feature characters in combat - either to protect themselves or the things or people they value, or simply as a way of life."
theme,Adult Couples,kRcHsa_5h0K_9C-vzcOrq,These manga feature romantic or sexual relationships between two adults.
genre,Adventure,KYsWQRUoZZbD8LWulIwpr,"In these manga, characters embark on a journey to explore the world or to search for something. These wanderers travel to many places and meet new people, often encountering hardships along the way, or discovering strengths and weaknesses about themselves that are revealed throughout the adventure."
theme,Afterlife,FU_mBv04f9gUVCc4PwGVF,"These manga focus on the afterlife. The manga might take place in Heaven or Hell, focus on purgatory and the judging of souls, or other topics that cover life after death."
theme,Age Gap,RUFd2D5n0xJsTd5xbXjZh,"These manga showcase a relationship where the characters are in two different age groups, based on societal norms. While not always the case, these characters sometimes must overcome challenges or societal stigma associated with the Age Gap."
theme,Age Transformation,_SUt4Ur5reSDG-_GDsLsD,"Characters in these manga experience transformations that alter their age, be they through magical or other means."
theme,Aging,lvaAJrCRNVEq_aVOAb0Lt,"These manga address issues that middle-aged and elderly people face. Common themes include dealing with declining health, losing a life-long spouse, or having a mid-life crisis. More upbeat topics can include enjoying retirement, learning to adjust to modern times, or becoming a parent later in life."
theme,Alcohol,fSv5--6EsbRfqrFyLXt0P,"Alcohol is the subject of these manga. The story might take place in a Bar, where beer, wine, or spirits are served to patrons. Characters in these manga might run a brewery, or are sommeliers, alcoholics, or simply enjoy the experience of drinking alcohol. These manga may offer step-by-step Recipes for how to make cocktails or alcoholic beverages."
theme,Aliens,g2AnfCW1b_HYRSDs3V4tP,"The universe is vast, and it's easy to imagine that there might be non-human life on distant worlds. Whether physically similar to mankind or vastly different, these works feature beings born on other worlds. Manga that take place on Earth might encounter unexpected visitors with unknown intentions; or on the homeworld of another culture, human beings are the Aliens."
theme,All-Boys School,l8upn1RT0tU4M7x1bQpra,Characters in these manga attend an all-boys school.
theme,All-Girls School,nHv9pA4Xo1geNdFIdYG47,Characters in these manga attend an all-girls school.
theme,Amnesia,PN6TMxxZCTIxHmoY5JaWL,"Characters with amnesia have partial or full memory loss. These manga feature characters that suffer from amnesia due to an injury or trauma, an Illness, or a Supernatural occurrence."
theme,Ancient China,kWwQHOZLMdFSI_s9_cJUb,"These manga take place in China during ancient or imperial times, or are set in a world similar to ancient China. Some works may be influenced or inspired by famous Chinese novels such as \\""Romance of the Three Kingdoms\\"" or \\""Journey to the West\\"", Chinese mythology, or historical figures from Chinese history. Common themes involve the happenings within the imperial court, waging war and forging political alliances, dynastic politics, and palace intrigue. Ancient China is a common setting for Wuxia titles."
